Date,Time,DateTime,Energy_level,Mood,Weather_Condition,Current_Activity,Location,Procrastination_Score,Num_Productive_tasks,Notes
17 August 2025 3:00:00 PM,3:00:00 PM,17-08-2025 15:00,7,Excited,Sunny,Board Games ,Bedroom,1,0,
17 August 2025 4:00:00 PM,4:00:00 PM,17-08-2025 16:00,7,Excited,Sunny,Board Games ,Bedroom,1,0,
17 August 2025 5:00:00 PM,5:00:00 PM,17-08-2025 17:00,7,Excited,Cloudy,Football ,Sitting Room,1,0,
17 August 2025 6:00:00 PM,6:00:00 PM,17-08-2025 18:00,7,Excited,Cloudy,Football ,Sitting Room,1,0,
17 August 2025 7:00:00 PM,7:00:00 PM,17-08-2025 19:00,7,Fulfilled,Cloudy,Chilling,Bedroom,1,0,
17 August 2025 8:00:00 PM,8:00:00 PM,17-08-2025 20:00,6,Loved,Cloudy,Chilling,Bedroom,1,0,
17 August 2025 9:00:00 PM,9:00:00 PM,17-08-2025 21:00,8,Loved,Cloudy,Chilling,Bedroom,1,0,
17 August 2025 10:00:00 PM,10:00:00 PM,17-08-2025 22:00,7,Loved,Cloudy,Chilling,Bedroom,1,0,
17 August 2025 11:00:00 PM,11:00:00 PM,17-08-2025 23:00,9,Loved,Cloudy,Chilling,Bedroom,1,0,
18 August 2025 9:00:00 AM,9:00:00 AM,18-08-2025 09:00,9,Happy,Sunny,Gaming,Gaming Room,10,0,
18 August 2025 10:00:00 AM,10:00:00 AM,18-08-2025 10:00,8,Happy,Sunny,Chilling,Gaming Room,10,0,
18 August 2025 11:00:00 AM,11:00:00 AM,18-08-2025 11:00,8,Happy,Gloomy,Anime,Gaming Room,10,0,
18 August 2025 12:00:00 PM,12:00:00 PM,18-08-2025 12:00,7,Happy,Gloomy,Lunch,Dining Room,1,0,
18 August 2025 1:00:00 PM,1:00:00 PM,18-08-2025 13:00,8,Happy,Gloomy,Lunch,Dining Room,10,0,
18 August 2025 2:00:00 PM,2:00:00 PM,18-08-2025 14:00,7,Energised,Gloomy,Anime,Bedroom,10,0,
18 August 2025 3:00:00 PM,3:00:00 PM,18-08-2025 15:00,6,Energised,Gloomy,Anime,Bedroom,10,0,
18 August 2025 4:00:00 PM,4:00:00 PM,18-08-2025 16:00,7,Happy,Gloomy,Drama,Bedroom,10,0,
18 August 2025 5:00:00 PM,5:00:00 PM,18-08-2025 17:00,7,Angry,Gloomy,Personality Test,Bedroom,8,1,
18 August 2025 6:00:00 PM,6:00:00 PM,18-08-2025 18:00,4,Tired,Cloudy,Anime,Bedroom,10,0,
18 August 2025 7:00:00 PM,7:00:00 PM,18-08-2025 19:00,3,Tired,Cloudy,Dinner,Dining Room,1,0,
18 August 2025 8:00:00 PM,8:00:00 PM,18-08-2025 20:00,4,Tired,Cloudy,Anime,Bedroom,10,0,
18 August 2025 9:00:00 PM,9:00:00 PM,18-08-2025 21:00,5,Tired,Cloudy,Anime,Bedroom,10,0,
18 August 2025 10:00:00 PM,10:00:00 PM,18-08-2025 22:00,6,Tired,Cloudy,Anime,Bedroom,10,0,
18 August 2025 11:00:00 PM,11:00:00 PM,18-08-2025 23:00,6,Excited,Cloudy,Anime,Bedroom,10,0,
19 August 2025 9:00:00 AM,9:00:00 AM,19-08-2025 09:00,4,Tired,Cloudy,Sleep,Bedroom,1,0,
19 August 2025 10:00:00 AM,10:00:00 AM,19-08-2025 10:00,6,Energised,Cloudy,Anime,Bedroom,10,0,
19 August 2025 11:00:00 AM,11:00:00 AM,19-08-2025 11:00,8,Happy,Gloomy,Chilling,Bedroom,10,0,
19 August 2025 12:00:00 PM,12:00:00 PM,19-08-2025 12:00,6,Happy,Gloomy,Lunch,Dining Room,1,0,
19 August 2025 1:00:00 PM,1:00:00 PM,19-08-2025 13:00,7,Happy,Gloomy,Work,Office Space,1,1,Applying for jobs
19 August 2025 2:00:00 PM,2:00:00 PM,19-08-2025 14:00,6,Happy,Gloomy,Work,Office Space,1,1,DS Research for upskilling / portfolio
19 August 2025 3:00:00 PM,3:00:00 PM,19-08-2025 15:00,6,Frustrated,Gloomy,Reading,Bedroom,6,1,
19 August 2025 4:00:00 PM,4:00:00 PM,19-08-2025 16:00,7,Tired,Cloudy,Chilling,Beckton,8,1,
19 August 2025 5:00:00 PM,5:00:00 PM,19-08-2025 17:00,8,Happy,Cloudy,Chilling,Beckton,8,1,
19 August 2025 6:00:00 PM,6:00:00 PM,19-08-2025 18:00,8,Happy,Cloudy,Chilling,Beckton,1,1,
19 August 2025 7:00:00 PM,7:00:00 PM,19-08-2025 19:00,6,Happy,Cloudy,Chilling,Beckton,1,1,
19 August 2025 8:00:00 PM,8:00:00 PM,19-08-2025 20:00,6,Happy,Cloudy,Food,Dining Room,1,0,
